Frame,Car ID,Distance (m),Velocity (km/h),Timestamp (s)
138,11,27.42,9.56,1746835307.768
138,13,40.53,9.21,1746835307.768
138,14,36.83,-1.01,1746835307.768
139,0,15.52,1.38,1746835307.926
139,1,20.95,-6.53,1746835307.926
139,2,19.22,-7.87,1746835307.926
139,3,41.15,6.63,1746835307.926
139,4,30.72,-21.12,1746835307.926
139,5,27.0,569.04,1746835307.926
139,8,21.72,-0.59,1746835307.926
139,10,27.51,-1.43,1746835307.926
139,11,50.68,-531.49,1746835307.926
139,12,39.74,-41.04,1746835307.926
139,13,37.04,79.64,1746835307.926
139,14,42.89,-138.62,1746835307.926
140,0,15.47,1.09,1746835308.077
140,1,19.19,42.06,1746835308.077
140,2,21.08,-44.29,1746835308.077
140,3,41.48,-7.88,1746835308.077
140,4,31.35,-15.09,1746835308.077
140,5,21.81,123.71,1746835308.077
140,7,27.2,-1.03,1746835308.077
140,10,27.6,-2.12,1746835308.077
141,0,15.35,3.0,1746835308.232
141,1,19.17,0.29,1746835308.232
141,2,21.41,-7.69,1746835308.232
141,3,41.13,8.05,1746835308.232
141,4,31.24,2.54,1746835308.232
141,6,22.07,38.13,1746835308.232
141,7,27.08,2.72,1746835308.232
141,8,27.46,-67.5,1746835308.232
141,11,40.9,114.82,1746835308.232
142,0,18.79,-79.13,1746835308.389
142,1,15.43,86.06,1746835308.389
142,2,21.27,3.28,1746835308.389
142,3,39.58,35.7,1746835308.389
142,4,30.38,19.87,1746835308.389
142,6,21.72,7.84,1746835308.389
142,7,26.94,3.36,1746835308.389
142,8,41.13,-313.83,1746835308.389
142,11,58.8,-411.36,1746835308.389
142,12,44.02,-33.25,1746835308.389
143,0,15.58,70.19,1746835308.554
143,1,18.2,-60.55,1746835308.554
143,2,21.28,-0.29,1746835308.554
143,3,39.81,-5.02,1746835308.554
143,4,29.89,10.61,1746835308.554
143,6,27.03,-115.9,1746835308.554
143,7,21.59,116.84,1746835308.554
143,8,43.61,-54.23,1746835308.554
143,9,41.0,12.58,1746835308.554
143,11,55.4,74.46,1746835308.554
144,0,18.03,-54.55,1746835308.716
144,1,15.61,57.64,1746835308.716
144,2,21.18,2.27,1746835308.716
144,3,39.51,6.68,1746835308.716
144,4,30.35,-10.27,1746835308.716
144,6,26.8,5.13,1746835308.716
144,7,21.56,0.54,1746835308.716
144,9,41.11,-2.5,1746835308.716
144,10,43.99,-92.33,1746835308.716
144,12,36.69,80.76,1746835308.716
144,13,56.13,-86.97,1746835308.716
145,0,15.62,52.5,1746835308.881
145,1,17.71,-45.89,1746835308.881
145,2,21.19,-0.24,1746835308.881
145,3,38.88,13.7,1746835308.881
145,4,29.9,9.83,1746835308.881
145,5,26.62,-21.58,1746835308.881
145,7,21.65,-1.89,1746835308.881
145,9,40.55,12.25,1746835308.881
145,11,42.91,137.59,1746835308.881
146,0,17.56,-45.88,1746835309.033
146,1,15.76,46.35,1746835309.033
146,2,21.16,0.71,1746835309.033
146,3,38.54,8.13,1746835309.033
146,4,21.43,200.81,1746835309.033
146,5,26.93,-7.18,1746835309.033
146,6,31.13,-49.13,1746835309.033
146,10,37.69,71.52,1746835309.033
146,11,40.18,64.51,1746835309.033
147,0,15.76,39.55,1746835309.196
147,1,17.41,-36.41,1746835309.196
147,2,21.26,-2.13,1746835309.196
147,3,37.58,21.16,1746835309.196
147,4,27.03,-123.31,1746835309.196
147,5,20.59,139.49,1746835309.196
147,8,31.46,68.08,1746835309.196
147,10,38.68,-21.78,1746835309.196
147,11,39.67,11.38,1746835309.196
148,0,18.13,-51.1,1746835309.363
148,1,15.78,35.2,1746835309.363
148,2,21.44,-3.9,1746835309.363
148,3,37.28,6.42,1746835309.363
148,4,20.52,140.58,1746835309.363
148,5,26.94,-137.01,1746835309.363
148,9,31.51,67.48,1746835309.363
148,10,37.98,15.1,1746835309.363
148,11,41.78,-45.71,1746835309.363
149,0,15.82,53.9,1746835309.517
149,1,18.22,-57.05,1746835309.517
149,2,37.4,-372.62,1746835309.517
149,3,22.43,346.57,1746835309.517
149,4,20.58,-1.48,1746835309.517
149,5,26.91,0.68,1746835309.517
149,8,31.27,2.12,1746835309.517
149,12,36.72,-0.13,1746835309.517
149,13,40.63,69.6,1746835309.517
150,0,18.17,-53.76,1746835309.675
150,1,15.61,59.7,1746835309.675
150,2,37.74,-7.7,1746835309.675
150,3,23.11,-15.56,1746835309.675
150,4,26.77,-141.28,1746835309.675
150,6,20.75,58.14,1746835309.675
150,9,30.96,6.33,1746835309.675
151,0,15.61,58.16,1746835309.834
151,1,17.73,-48.11,1746835309.834
151,2,37.56,4.04,1746835309.834
151,3,23.08,0.66,1746835309.834
151,4,26.72,1.19,1746835309.834
151,5,20.57,72.05,1746835309.834
151,9,30.7,5.83,1746835309.834
152,0,15.65,-1.03,1746835309.99
152,1,17.68,1.16,1746835309.99
152,2,38.48,-21.23,1746835309.99
152,3,22.19,20.55,1746835309.99
152,4,26.69,0.61,1746835309.99
152,6,20.67,0.96,1746835309.99
152,8,31.46,-1.39,1746835309.99
153,0,17.27,-38.89,1746835310.14
153,1,15.65,48.61,1746835310.14
153,2,37.45,24.65,1746835310.14
153,3,21.97,5.28,1746835310.14
153,4,20.28,153.63,1746835310.14
153,5,26.72,-72.33,1746835310.14
153,7,31.58,-28.38,1746835310.14
153,12,38.44,-9.91,1746835310.14
154,0,15.66,36.17,1746835310.3
154,1,17.02,-30.73,1746835310.3
154,2,37.37,1.78,1746835310.3
154,3,21.86,2.56,1746835310.3
154,4,20.34,-1.45,1746835310.3
154,5,26.79,-1.52,1746835310.3
154,7,31.2,8.52,1746835310.3
155,0,16.97,-29.88,1746835310.458
155,1,15.68,30.63,1746835310.458
155,2,37.06,7.09,1746835310.458
155,3,21.96,-2.24,1746835310.458
155,4,20.48,-3.17,1746835310.458
155,6,27.49,-52.45,1746835310.458
155,7,31.15,1.18,1746835310.458
156,0,16.86,2.64,1746835310.615
156,1,15.71,-0.59,1746835310.615
156,2,21.98,344.98,1746835310.615
156,3,36.28,-327.69,1746835310.615
156,4,20.84,-8.18,1746835310.615
156,6,27.83,-7.89,1746835310.615
156,7,31.4,-5.84,1746835310.615
157,0,16.66,3.85,1746835310.799
157,1,15.67,0.68,1746835310.799
157,2,22.06,-1.46,1746835310.799
157,3,37.75,-28.73,1746835310.799
157,5,20.95,42.14,1746835310.799
157,6,28.17,-6.55,1746835310.799
157,7,31.08,6.27,1746835310.799
158,0,16.4,6.1,1746835310.952
158,1,15.6,1.83,1746835310.952
158,2,22.29,-5.54,1746835310.952
158,3,38.55,-18.94,1746835310.952
158,4,21.07,-2.48,1746835310.952
158,6,27.23,22.0,1746835310.952
158,7,30.31,18.18,1746835310.952
159,0,15.54,20.23,1746835311.105
159,1,16.21,-14.55,1746835311.105
159,2,22.34,-1.02,1746835311.105
159,3,37.9,15.21,1746835311.105
159,4,21.13,-1.46,1746835311.105
159,7,28.69,38.11,1746835311.105
159,8,32.76,-4.21,1746835311.105
160,0,15.44,2.31,1746835311.261
160,1,16.09,2.86,1746835311.261
160,2,22.28,1.33,1746835311.261
160,3,36.95,21.93,1746835311.261
160,5,21.42,-3.72,1746835311.261
160,7,28.36,7.79,1746835311.261
160,8,32.89,-3.13,1746835311.261
161,0,15.45,-0.09,1746835311.419
161,1,15.69,9.11,1746835311.419
161,2,37.02,-334.55,1746835311.419
161,3,22.31,332.25,1746835311.419
161,4,30.87,-111.35,1746835311.419
161,5,27.92,-147.51,1746835311.419
161,6,21.19,46.49,1746835311.419
162,0,15.14,7.26,1746835311.573
162,1,15.46,5.27,1746835311.573
162,2,35.59,33.49,1746835311.573
162,3,22.35,-0.91,1746835311.573
162,4,31.37,-11.8,1746835311.573
162,5,27.56,8.55,1746835311.573
162,7,21.54,78.76,1746835311.573
163,0,15.43,-6.92,1746835311.727
163,1,15.61,-3.37,1746835311.727
163,2,36.54,-22.0,1746835311.727
163,3,22.24,2.56,1746835311.727
163,4,30.68,16.2,1746835311.727
163,5,26.97,13.68,1746835311.727
163,6,21.65,-5.35,1746835311.727
163,9,26.98,7.08,1746835311.727
164,0,15.64,-4.87,1746835311.881
164,1,15.24,8.56,1746835311.881
164,2,22.11,337.36,1746835311.881
164,3,39.5,-403.37,1746835311.881
164,4,30.64,1.01,1746835311.881
164,6,26.9,-122.82,1746835311.881
164,7,21.82,-3.32,1746835311.881
164,9,27.4,-9.79,1746835311.881
165,0,15.56,2.0,1746835312.036
165,1,15.19,1.16,1746835312.036
165,2,39.6,-407.09,1746835312.036
165,3,22.37,398.55,1746835312.036
165,4,30.07,13.18,1746835312.036
165,6,26.84,1.57,1746835312.036
165,7,21.8,0.54,1746835312.036
165,9,26.84,13.03,1746835312.036
165,11,56.09,-19.27,1746835312.036
166,0,15.15,9.35,1746835312.194
166,1,15.51,-7.32,1746835312.194
166,2,39.89,-6.76,1746835312.194
166,3,22.49,-2.57,1746835312.194
166,6,26.82,0.45,1746835312.194
166,7,30.64,-201.27,1746835312.194
166,8,22.46,40.25,1746835312.194
166,9,26.95,-2.46,1746835312.194
166,10,58.83,-26.51,1746835312.194
167,0,15.45,-6.99,1746835312.348
167,1,15.13,8.81,1746835312.348
167,2,22.6,402.91,1746835312.348
167,3,40.86,-428.06,1746835312.348
167,5,34.16,-41.63,1746835312.348
167,7,22.53,188.96,1746835312.348
167,8,27.57,-119.08,1746835312.348
167,9,61.25,-799.17,1746835312.348
168,0,14.52,21.37,1746835312.505
168,1,15.63,-11.38,1746835312.505
168,2,23.08,-11.14,1746835312.505
168,3,39.35,34.84,1746835312.505
168,5,26.74,170.71,1746835312.505
168,7,34.07,-265.48,1746835312.505
168,8,22.62,113.94,1746835312.505
169,0,14.34,4.19,1746835312.66
169,1,15.68,-1.23,1746835312.66
169,2,36.76,-316.38,1746835312.66
169,3,23.0,378.29,1746835312.66
169,6,32.25,-41.92,1746835312.66
169,7,26.21,181.88,1746835312.66
169,8,22.27,8.17,1746835312.66
169,9,26.9,396.38,1746835312.66
169,11,59.89,-21.87,1746835312.66
170,0,14.11,5.33,1746835312.812
170,1,15.79,-2.53,1746835312.812
170,2,35.78,23.24,1746835312.812
170,3,23.11,-2.76,1746835312.812
170,6,25.28,165.04,1746835312.812
170,7,22.17,95.68,1746835312.812
170,8,33.33,-261.93,1746835312.812
170,10,60.86,-11.8,1746835312.812
170,12,27.76,14.38,1746835312.812
171,0,14.0,2.64,1746835312.968
171,1,16.14,-8.06,1746835312.968
171,2,35.7,1.85,1746835312.968
171,3,22.25,19.99,1746835312.968
171,5,26.11,4.91,1746835312.968
171,9,22.31,53.64,1746835312.968
171,10,34.4,611.79,1746835312.968
172,0,13.8,4.54,1746835313.122
172,1,16.38,-5.67,1746835313.122
172,2,35.41,6.63,1746835313.122
172,3,22.36,-2.53,1746835313.122
172,6,26.01,-8.41,1746835313.122
172,7,34.03,-137.9,1746835313.122
172,8,25.36,92.58,1746835313.122
172,11,33.09,209.01,1746835313.122
172,12,22.47,61.54,1746835313.122
173,0,13.87,-1.57,1746835313.273
173,1,16.24,3.42,1746835313.273
173,2,37.12,-40.69,1746835313.273
173,4,22.44,22.2,1746835313.273
173,5,31.71,-66.18,1746835313.273
173,6,25.75,6.26,1746835313.273
173,7,32.99,24.85,1746835313.273
173,9,24.86,-30.14,1746835313.273
173,10,22.34,142.48,1746835313.273
174,0,13.66,4.71,1746835313.434
174,1,16.17,1.47,1746835313.434
174,2,37.82,-15.66,1746835313.434
174,4,22.6,-3.53,1746835313.434
174,5,26.15,123.63,1746835313.434
174,6,31.83,-135.57,1746835313.434
174,8,32.24,-79.28,1746835313.434
174,9,22.32,56.58,1746835313.434
174,11,26.19,79.54,1746835313.434
175,0,13.57,1.94,1746835313.589
175,1,16.03,3.18,1746835313.589
175,3,36.06,-105.7,1746835313.589
175,4,22.36,5.54,1746835313.589
175,5,26.8,-14.96,1746835313.589
175,6,32.34,-11.87,1746835313.589
175,7,33.11,-1.38,1746835313.589
175,9,22.08,5.59,1746835313.589
176,0,13.51,1.48,1746835313.742
176,1,15.76,6.5,1746835313.742
176,3,35.06,23.49,1746835313.742
176,4,22.76,-9.4,1746835313.742
176,5,26.61,4.46,1746835313.742
176,6,31.68,15.55,1746835313.742
176,9,32.75,-251.27,1746835313.742
176,10,22.03,2.37,1746835313.742
176,11,56.97,-360.5,1746835313.742
177,0,13.29,5.1,1746835313.899
177,1,15.74,0.5,1746835313.899
177,3,35.73,-15.18,1746835313.899
177,4,22.58,4.14,1746835313.899
177,5,26.67,-1.5,1746835313.899
177,6,33.29,-36.85,1746835313.899
177,8,28.14,31.78,1746835313.899
177,9,58.28,-585.24,1746835313.899
177,10,21.82,4.97,1746835313.899
177,12,32.33,-45.68,1746835313.899
177,13,54.9,-11.73,1746835313.899
178,0,13.39,-2.47,1746835314.052
178,1,15.92,-4.28,1746835314.052
178,3,33.79,45.26,1746835314.052
178,4,22.82,-5.64,1746835314.052
178,6,27.02,146.79,1746835314.052
178,7,35.22,-16.4,1746835314.052
178,9,61.16,-67.32,1746835314.052
178,10,21.6,4.99,1746835314.052
179,0,13.28,2.18,1746835314.24
179,1,15.79,2.42,1746835314.24
179,2,36.42,6.24,1746835314.24
179,4,22.94,-2.3,1746835314.24
179,6,26.77,4.83,1746835314.24
179,7,21.05,272.36,1746835314.24
179,8,34.01,-61.95,1746835314.24
179,10,57.06,-681.22,1746835314.24
180,0,12.83,10.76,1746835314.389
180,1,15.68,2.8,1746835314.389
180,3,35.79,-21.4,1746835314.389
180,4,22.42,12.63,1746835314.389
180,5,26.09,4.25,1746835314.389
180,8,20.98,313.81,1746835314.389
180,9,33.95,290.81,1746835314.389
180,10,55.55,36.48,1746835314.389
180,12,27.54,35.09,1746835314.389
181,0,12.61,5.25,1746835314.541
181,1,15.9,-5.35,1746835314.541
181,3,34.43,32.51,1746835314.541
181,4,22.5,-1.88,1746835314.541
181,5,26.7,-14.53,1746835314.541
181,7,20.88,1.94,1746835314.541
181,9,35.04,-25.87,1746835314.541
182,0,12.46,3.71,1746835314.692
182,1,16.15,-5.94,1746835314.692
182,2,36.38,0.34,1746835314.692
182,4,22.69,-4.64,1746835314.692
182,5,27.13,-10.09,1746835314.692
182,7,19.83,25.01,1746835314.692
182,11,34.08,86.72,1746835314.692
183,0,12.69,-5.5,1746835314.842
183,1,16.54,-9.34,1746835314.842
183,3,35.79,-16.24,1746835314.842
183,4,23.06,-8.93,1746835314.842
183,5,26.33,19.14,1746835314.842
183,6,20.11,39.83,1746835314.842
183,10,64.39,-70.4,1746835314.842
183,11,61.78,-664.44,1746835314.842
183,12,36.17,-68.63,1746835314.842
183,13,27.89,103.13,1746835314.842
184,0,12.53,3.6,1746835314.996
184,1,16.1,10.25,1746835314.996
184,3,34.83,22.22,1746835314.996
184,4,23.73,-15.63,1746835314.996
184,5,26.47,-3.28,1746835314.996
184,8,20.16,4.89,1746835314.996
184,10,65.56,-27.22,1746835314.996
184,12,29.41,157.08,1746835314.996
185,0,12.16,8.81,1746835315.148
185,1,16.23,-3.17,1746835315.148
185,3,33.62,28.77,1746835315.148
185,4,23.72,0.42,1746835315.148
185,5,26.38,2.07,1746835315.148
185,6,20.52,-4.82,1746835315.148
185,10,32.59,783.95,1746835315.148
185,11,65.37,-42.21,1746835315.148
186,0,11.57,14.21,1746835315.299
186,1,16.19,0.99,1746835315.299
186,3,24.12,226.73,1746835315.299
186,4,35.04,-270.27,1746835315.299
186,5,26.96,-13.78,1746835315.299
186,6,21.16,-15.4,1746835315.299
186,10,36.7,-98.09,1746835315.299
186,11,42.91,536.11,1746835315.299
186,12,29.15,3.12,1746835315.299
186,13,64.83,-290.99,1746835315.299
187,0,11.5,1.66,1746835315.45
187,1,15.86,7.97,1746835315.45
187,3,33.9,-232.23,1746835315.45
187,4,24.3,255.17,1746835315.45
187,8,27.6,-58.99,1746835315.45
187,9,29.27,22.83,1746835315.45
187,10,39.06,-56.2,1746835315.45
187,11,21.76,502.53,1746835315.45
187,12,28.15,23.69,1746835315.45
188,0,11.41,1.84,1746835315.617
188,1,16.35,-10.63,1746835315.617
188,3,34.23,-7.16,1746835315.617
188,4,23.9,8.49,1746835315.617
188,5,27.16,-2.26,1746835315.617
188,7,43.56,-92.24,1746835315.617
188,8,60.26,-703.11,1746835315.617
188,9,20.81,182.09,1746835315.617
188,10,31.06,172.29,1746835315.617
189,0,11.51,-2.42,1746835315.768
189,1,15.89,11.11,1746835315.768
189,3,36.01,-42.55,1746835315.768
189,4,24.01,-2.49,1746835315.768
189,5,27.66,-12.03,1746835315.768
189,6,42.23,-161.57,1746835315.768
189,9,21.47,-15.9,1746835315.768
189,11,31.78,-113.46,1746835315.768
189,12,61.35,-376.1,1746835315.768
190,0,11.66,-3.45,1746835315.92
190,1,16.09,-4.96,1746835315.92
190,2,36.42,-0.13,1746835315.92
190,3,23.92,286.33,1746835315.92
190,5,43.23,-368.75,1746835315.92
190,6,27.28,353.98,1746835315.92
190,7,21.98,256.7,1746835315.92
190,10,58.35,-324.66,1746835315.92
190,11,58.72,-638.24,1746835315.92
190,12,29.53,753.73,1746835315.92
190,13,49.31,89.92,1746835315.92
191,0,11.12,12.39,1746835316.076
191,1,16.09,0.06,1746835316.076
191,3,34.95,-255.07,1746835316.076
191,4,23.41,7.02,1746835316.076
191,5,46.51,-75.89,1746835316.076
191,6,21.63,130.71,1746835316.076
191,7,45.77,-550.08,1746835316.076
191,8,27.75,255.38,1746835316.076
191,9,28.38,-80.78,1746835316.076
191,12,64.16,-800.84,1746835316.076
192,0,11.08,1.03,1746835316.23
192,1,16.26,-3.97,1746835316.23
192,2,34.5,22.36,1746835316.23
192,4,22.82,13.7,1746835316.23
192,5,26.2,474.65,1746835316.23
192,6,26.67,-117.8,1746835316.23
192,7,45.77,0.09,1746835316.23
192,8,20.07,179.4,1746835316.23
192,9,28.19,4.33,1746835316.23
192,10,44.6,159.72,1746835316.23
192,11,66.39,-89.08,1746835316.23
193,0,10.86,4.95,1746835316.385
193,1,16.43,-3.87,1746835316.385
193,2,33.89,14.21,1746835316.385
193,4,22.91,-2.15,1746835316.385
193,5,27.22,-23.5,1746835316.385
193,6,49.4,-527.43,1746835316.385
193,7,20.32,590.48,1746835316.385
193,8,29.06,-208.45,1746835316.385
193,9,30.45,-52.5,1746835316.385
193,10,47.89,-76.24,1746835316.385
194,0,10.6,5.5,1746835316.559
194,1,33.57,-355.07,1746835316.559
194,2,16.68,356.56,1746835316.559
194,4,23.25,-6.99,1746835316.559
194,5,26.49,15.06,1746835316.559
194,6,49.65,-5.13,1746835316.559
194,7,19.97,7.21,1746835316.559
194,8,28.62,9.03,1746835316.559
194,9,64.01,-695.18,1746835316.559
195,0,10.66,-1.4,1746835316.71
195,1,16.61,404.02,1746835316.71
195,2,32.98,-388.44,1746835316.71
195,4,23.37,-2.99,1746835316.71
195,5,26.76,-6.5,1746835316.71
195,6,47.86,42.58,1746835316.71
195,7,65.48,-1084.39,1746835316.71
195,8,57.58,-690.04,1746835316.71
195,9,26.8,886.53,1746835316.71
195,10,22.18,284.97,1746835316.71
196,0,10.58,1.82,1746835316.862
196,1,16.06,12.99,1746835316.862
196,2,32.11,20.57,1746835316.862
196,4,22.57,18.97,1746835316.862
196,5,47.13,-481.37,1746835316.862
196,6,27.77,475.01,1746835316.862
196,7,56.24,218.39,1746835316.862
196,8,57.84,-6.19,1746835316.862
196,10,22.78,-14.3,1746835316.862
196,12,22.86,189.07,1746835316.862
197,0,10.55,0.6,1746835317.017
197,2,16.57,360.55,1746835317.017
197,3,31.64,12.66,1746835317.017
197,4,22.6,-0.68,1746835317.017
197,6,26.83,21.69,1746835317.017
197,7,47.88,193.76,1746835317.017
197,8,61.19,-77.64,1746835317.017
197,9,64.3,-439.02,1746835317.017
197,10,50.93,-653.0,1746835317.017
197,11,45.7,94.56,1746835317.017
198,0,10.43,2.8,1746835317.17
198,2,16.72,-3.68,1746835317.17
198,3,31.74,-2.19,1746835317.17
198,4,22.19,9.61,1746835317.17
198,5,26.95,235.65,1746835317.17
198,6,61.24,-809.43,1746835317.17
198,8,48.39,300.97,1746835317.17
198,9,55.33,211.16,1746835317.17
198,10,51.57,-14.95,1746835317.17
198,11,22.6,543.49,1746835317.17
199,0,10.35,1.86,1746835317.33
199,2,32.6,-357.62,1746835317.33
199,3,16.68,339.01,1746835317.33
199,4,23.1,-20.48,1746835317.33
199,5,26.78,3.85,1746835317.33
199,6,49.64,261.4,1746835317.33
199,7,53.33,-62.63,1746835317.33
199,8,52.85,-100.36,1746835317.33
199,9,68.8,-303.48,1746835317.33
199,10,45.33,140.61,1746835317.33
199,12,63.25,-310.65,1746835317.33
200,0,10.14,4.63,1746835317.496
200,2,17.42,328.75,1746835317.496
200,3,33.13,-356.16,1746835317.496
200,4,23.66,-12.06,1746835317.496
200,5,27.17,-8.42,1746835317.496
200,8,51.29,33.85,1746835317.496
200,9,21.81,1017.69,1746835317.496
200,10,61.6,-352.52,1746835317.496
200,11,54.76,-355.06,1746835317.496
200,12,47.27,346.03,1746835317.496
201,0,10.06,1.66,1746835317.658
201,1,17.32,-5.71,1746835317.658
201,3,31.73,31.27,1746835317.658
201,4,24.25,-13.28,1746835317.658
201,5,27.01,3.57,1746835317.658
201,6,50.68,-11.49,1746835317.658
201,7,48.98,47.81,1746835317.658
201,9,21.23,12.92,1746835317.658
201,11,65.82,-246.94,1746835317.658
201,12,61.84,-325.33,1746835317.658
201,13,57.76,-17.51,1746835317.658
202,0,9.97,2.34,1746835317.807
202,1,16.96,8.75,1746835317.807
202,2,31.98,-168.65,1746835317.807
202,4,22.82,34.51,1746835317.807
202,5,27.48,-11.26,1746835317.807
202,6,48.18,60.18,1746835317.807
202,8,48.85,28.22,1746835317.807
202,9,21.12,2.66,1746835317.807
202,10,64.27,-30.88,1746835317.807
203,0,9.8,4.0,1746835317.962
203,1,17.08,-2.9,1746835317.962
203,2,31.18,18.69,1746835317.962
203,4,23.53,-16.63,1746835317.962
203,5,44.82,-404.07,1746835317.962
203,6,46.26,44.73,1746835317.962
203,7,54.98,-71.01,1746835317.962
203,9,21.43,-7.13,1746835317.962
203,10,45.43,438.92,1746835317.962
203,11,27.49,453.63,1746835317.962
203,13,55.99,21.03,1746835317.962
203,14,42.56,0.12,1746835317.962
204,0,17.07,-167.83,1746835318.118
204,1,9.56,173.44,1746835318.118
204,2,31.35,-4.05,1746835318.118
204,4,22.57,22.2,1746835318.118
204,5,47.19,-54.65,1746835318.118
204,6,45.23,23.64,1746835318.118
204,7,44.67,237.74,1746835318.118
204,8,41.2,88.64,1746835318.118
204,9,58.29,-850.27,1746835318.118
204,10,27.58,411.66,1746835318.118
204,11,21.9,128.84,1746835318.118
204,12,61.67,1.39,1746835318.118
205,0,9.32,182.69,1746835318.271
205,1,17.9,-196.47,1746835318.271
205,3,30.95,4.6,1746835318.271
205,4,22.83,-6.06,1746835318.271
205,5,45.59,37.71,1746835318.271
205,6,43.11,50.1,1746835318.271
205,7,63.0,-432.03,1746835318.271
205,8,50.59,-221.38,1746835318.271
205,9,21.64,864.08,1746835318.271
205,12,35.98,605.59,1746835318.271
206,0,9.21,2.5,1746835318.428
206,1,17.53,8.38,1746835318.428
206,2,30.2,13.35,1746835318.428
206,4,22.01,18.75,1746835318.428
206,5,41.46,94.42,1746835318.428
206,6,49.07,-136.25,1746835318.428
206,7,64.16,-26.61,1746835318.428
206,9,36.77,-346.06,1746835318.428
206,11,46.23,-282.38,1746835318.428
206,12,21.32,335.14,1746835318.428
207,0,9.14,1.8,1746835318.578
207,1,17.09,10.57,1746835318.578
207,2,29.95,6.12,1746835318.578
207,4,22.85,-20.15,1746835318.578
207,5,43.14,-40.29,1746835318.578
207,6,50.81,-41.74,1746835318.578
207,7,38.26,621.94,1746835318.578
207,8,46.94,42.8,1746835318.578
207,10,27.14,3.47,1746835318.578
207,11,40.46,138.52,1746835318.578
208,0,9.02,2.85,1746835318.728
208,1,17.07,0.47,1746835318.728
208,2,29.9,1.3,1746835318.728
208,4,23.38,-12.78,1746835318.728
208,5,48.06,-118.11,1746835318.728
208,6,43.5,175.33,1746835318.728
208,7,43.14,-117.17,1746835318.728
208,8,24.08,548.6,1746835318.728
208,11,46.9,-154.59,1746835318.728
208,13,40.05,74.91,1746835318.728
208,14,74.69,-151.0,1746835318.728
209,0,8.92,2.44,1746835318.878
209,1,17.14,-1.51,1746835318.878
209,2,30.2,-7.21,1746835318.878
209,4,23.1,6.66,1746835318.878
209,5,44.88,76.51,1746835318.878
209,6,46.94,-82.64,1746835318.878
209,8,42.38,-439.23,1746835318.878
209,10,45.2,-216.76,1746835318.878
210,0,8.75,4.11,1746835319.023
210,1,17.36,-5.63,1746835319.023
210,2,30.18,0.44,1746835319.023
210,4,23.06,0.98,1746835319.023
210,5,45.0,-3.12,1746835319.023
210,6,35.38,286.35,1746835319.023
210,7,46.73,-43.71,1746835319.023
210,8,40.97,35.04,1746835319.023
210,9,47.04,-62.1,1746835319.023
210,11,33.01,169.24,1746835319.023
211,0,8.63,3.01,1746835319.173
211,1,17.35,0.2,1746835319.173
211,2,31.18,-24.06,1746835319.173
211,4,22.74,7.66,1746835319.173
211,5,43.73,30.45,1746835319.173
211,6,33.28,50.33,1746835319.173
211,7,45.65,26.04,1746835319.173
211,9,40.69,152.54,1746835319.173
211,11,59.77,-642.91,1746835319.173
211,13,62.2,-179.16,1746835319.173
212,0,8.52,2.53,1746835319.324
212,1,30.45,-312.83,1746835319.324
212,2,16.92,340.79,1746835319.324
212,4,22.82,-1.77,1746835319.324
212,5,41.1,62.96,1746835319.324
212,6,45.95,-302.74,1746835319.324
212,7,35.0,254.31,1746835319.324
212,8,47.1,-73.5,1746835319.324
212,11,49.25,251.35,1746835319.324
213,0,8.47,1.18,1746835319.482
213,1,16.01,329.03,1746835319.482
213,2,30.25,-303.9,1746835319.482
213,4,22.75,1.45,1746835319.482
213,5,47.97,-156.64,1746835319.482
213,6,19.28,608.06,1746835319.482
213,7,41.76,-154.06,1746835319.482
213,8,51.6,-102.46,1746835319.482
213,9,35.28,63.14,1746835319.482
213,12,67.24,-156.85,1746835319.482
213,13,36.69,297.69,1746835319.482
214,0,8.34,3.06,1746835319.637
214,1,16.22,-4.8,1746835319.637
214,3,29.15,4.74,1746835319.637
214,4,22.09,15.29,1746835319.637
214,5,19.57,656.95,1746835319.637
214,6,47.57,-654.5,1746835319.637
214,7,31.93,227.35,1746835319.637
214,8,42.3,215.02,1746835319.637
214,9,56.51,-491.07,1746835319.637
214,11,37.44,135.59,1746835319.637
214,12,62.89,100.47,1746835319.637
215,0,8.34,-0.04,1746835319.795
215,1,17.22,-22.71,1746835319.795
215,3,28.81,7.66,1746835319.795
215,4,22.76,-15.29,1746835319.795
215,5,20.2,-14.33,1746835319.795
215,6,40.81,154.17,1746835319.795
215,7,51.08,-436.85,1746835319.795
215,8,55.56,-302.47,1746835319.795
215,9,39.5,387.95,1746835319.795
215,10,46.62,-5.55,1746835319.795
216,0,8.11,5.32,1746835319.949
216,1,17.9,-16.07,1746835319.949
216,2,27.96,17.66,1746835319.949
216,4,22.67,2.09,1746835319.949
216,5,49.47,-686.55,1746835319.949
216,6,39.14,39.16,1746835319.949
216,7,55.15,-95.48,1746835319.949
216,8,37.5,423.66,1746835319.949
216,9,47.57,-189.25,1746835319.949
216,10,20.8,605.51,1746835319.949
217,0,8.01,2.46,1746835320.101
217,1,17.27,15.0,1746835320.101
217,2,28.18,-5.16,1746835320.101
217,4,24.11,-33.8,1746835320.101
217,5,46.36,73.43,1746835320.101
217,6,38.58,13.25,1746835320.101
217,7,47.94,170.36,1746835320.101
217,8,61.31,-562.52,1746835320.101
217,9,37.41,240.03,1746835320.101
217,10,54.88,-804.77,1746835320.101
