Frame,Velocity (km/h),Timestamp (s)
27,257.03,1746835596.426
28,394.42,1746835596.582
28,208.9,1746835596.582
28,3.84,1746835596.582
28,51.51,1746835596.582
28,71.43,1746835596.582
28,39.12,1746835596.582
28,171.35,1746835596.582
28,169.39,1746835596.582
28,268.41,1746835596.582
28,381.7,1746835596.582
28,442.12,1746835596.582
28,66.65,1746835596.582
29,15.89,1746835596.736
29,216.09,1746835596.736
29,131.23,1746835596.736
29,387.22,1746835596.736
29,149.82,1746835596.736
29,34.5,1746835596.736
29,426.92,1746835596.736
29,408.16,1746835596.736
29,94.41,1746835596.736
29,92.23,1746835596.736
29,89.95,1746835596.736
30,3.54,1746835596.89
30,253.91,1746835596.89
30,92.06,1746835596.89
30,105.16,1746835596.89
30,444.67,1746835596.89
30,160.74,1746835596.89
30,135.67,1746835596.89
30,308.62,1746835596.89
30,440.26,1746835596.89
30,95.52,1746835596.89
30,59.11,1746835596.89
30,527.33,1746835596.89
30,336.97,1746835596.89
31,29.31,1746835597.045
31,169.95,1746835597.045
31,74.67,1746835597.045
31,401.09,1746835597.045
31,6.1,1746835597.045
31,178.31,1746835597.045
31,89.16,1746835597.045
31,33.28,1746835597.045
31,54.03,1746835597.045
31,352.91,1746835597.045
32,65.12,1746835597.196
32,423.5,1746835597.196
32,413.92,1746835597.196
32,39.49,1746835597.196
32,223.46,1746835597.196
32,241.98,1746835597.196
32,19.43,1746835597.196
32,12.8,1746835597.196
32,29.09,1746835597.196
32,45.81,1746835597.196
32,197.24,1746835597.196
33,9.81,1746835597.344
33,45.08,1746835597.344
33,15.1,1746835597.344
33,3.88,1746835597.344
33,15.04,1746835597.344
33,444.07,1746835597.344
33,174.81,1746835597.344
33,113.2,1746835597.344
33,19.14,1746835597.344
33,744.98,1746835597.344
33,70.33,1746835597.344
33,196.18,1746835597.344
33,54.59,1746835597.344
33,271.92,1746835597.344
34,2.62,1746835597.499
34,11.32,1746835597.499
34,18.81,1746835597.499
34,20.0,1746835597.499
34,11.56,1746835597.499
34,116.98,1746835597.499
34,387.53,1746835597.499
34,36.25,1746835597.499
34,14.91,1746835597.499
34,13.82,1746835597.499
34,746.51,1746835597.499
34,374.55,1746835597.499
35,417.43,1746835597.651
35,434.73,1746835597.651
35,499.64,1746835597.651
35,32.55,1746835597.651
35,471.54,1746835597.651
35,170.92,1746835597.651
35,142.03,1746835597.651
35,200.91,1746835597.651
35,80.22,1746835597.651
35,93.36,1746835597.651
36,447.35,1746835597.795
36,46.33,1746835597.795
36,193.27,1746835597.795
36,610.63,1746835597.795
36,79.16,1746835597.795
36,416.82,1746835597.795
36,458.87,1746835597.795
36,249.02,1746835597.795
36,345.14,1746835597.795
36,876.82,1746835597.795
36,1001.71,1746835597.795
36,370.07,1746835597.795
36,224.79,1746835597.795
37,12.65,1746835597.958
37,65.49,1746835597.958
37,239.28,1746835597.958
37,258.84,1746835597.958
37,40.47,1746835597.958
37,705.08,1746835597.958
37,4.96,1746835597.958
37,166.4,1746835597.958
37,805.63,1746835597.958
37,112.58,1746835597.958
38,4.7,1746835598.132
38,82.34,1746835598.132
38,94.32,1746835598.132
38,7.85,1746835598.132
38,277.41,1746835598.132
38,249.8,1746835598.132
38,261.8,1746835598.132
38,401.82,1746835598.132
38,73.2,1746835598.132
38,665.68,1746835598.132
38,29.34,1746835598.132
38,7.43,1746835598.132
38,80.42,1746835598.132
38,112.49,1746835598.132
39,8.2,1746835598.287
39,246.02,1746835598.287
39,30.09,1746835598.287
39,552.51,1746835598.287
39,324.04,1746835598.287
39,363.05,1746835598.287
39,129.21,1746835598.287
39,748.3,1746835598.287
39,53.59,1746835598.287
39,886.64,1746835598.287
39,99.82,1746835598.287
39,166.55,1746835598.287
40,376.36,1746835598.441
40,260.11,1746835598.441
40,212.23,1746835598.441
40,253.36,1746835598.441
40,264.56,1746835598.441
40,81.62,1746835598.441
40,270.87,1746835598.441
40,766.61,1746835598.441
40,32.43,1746835598.441
40,156.88,1746835598.441
41,385.0,1746835598.592
41,423.71,1746835598.592
41,755.52,1746835598.592
41,749.82,1746835598.592
41,328.75,1746835598.592
41,174.63,1746835598.592
41,667.17,1746835598.592
41,343.74,1746835598.592
41,381.46,1746835598.592
41,990.08,1746835598.592
41,63.94,1746835598.592
41,322.06,1746835598.592
41,47.5,1746835598.592
41,33.41,1746835598.592
42,23.08,1746835598.744
42,56.09,1746835598.744
42,597.22,1746835598.744
42,45.85,1746835598.744
42,42.62,1746835598.744
42,680.69,1746835598.744
42,335.57,1746835598.744
42,433.06,1746835598.744
42,834.2,1746835598.744
42,31.44,1746835598.744
42,231.71,1746835598.744
42,970.72,1746835598.744
42,64.58,1746835598.744
43,10.72,1746835598.921
43,73.83,1746835598.921
43,210.22,1746835598.921
43,1.78,1746835598.921
43,531.81,1746835598.921
43,38.01,1746835598.921
43,470.51,1746835598.921
43,109.43,1746835598.921
44,393.56,1746835599.071
44,237.85,1746835599.071
44,194.6,1746835599.071
44,5.5,1746835599.071
44,269.96,1746835599.071
44,21.05,1746835599.071
44,688.66,1746835599.071
44,1122.85,1746835599.071
44,579.85,1746835599.071
44,337.95,1746835599.071
44,335.89,1746835599.071
45,28.57,1746835599.222
45,4.29,1746835599.222
45,817.56,1746835599.222
45,926.75,1746835599.222
45,27.99,1746835599.222
45,383.94,1746835599.222
45,434.74,1746835599.222
45,10.12,1746835599.222
46,5.08,1746835599.37
46,103.38,1746835599.37
46,911.15,1746835599.37
46,638.77,1746835599.37
46,424.72,1746835599.37
46,388.95,1746835599.37
46,656.76,1746835599.37
47,5.55,1746835599.519
47,660.04,1746835599.519
47,11.35,1746835599.519
47,661.92,1746835599.519
47,395.85,1746835599.519
47,323.59,1746835599.519
47,516.43,1746835599.519
47,112.95,1746835599.519
47,24.25,1746835599.519
48,367.17,1746835599.668
48,5.82,1746835599.668
48,444.06,1746835599.668
48,5.83,1746835599.668
48,348.61,1746835599.668
48,731.36,1746835599.668
48,733.12,1746835599.668
48,588.08,1746835599.668
48,945.38,1746835599.668
48,221.47,1746835599.668
48,102.06,1746835599.668
48,152.68,1746835599.668
48,47.85,1746835599.668
49,468.54,1746835599.811
49,205.23,1746835599.811
49,270.92,1746835599.811
49,249.3,1746835599.811
49,352.62,1746835599.811
49,757.74,1746835599.811
49,83.38,1746835599.811
49,88.84,1746835599.811
49,247.44,1746835599.811
49,568.74,1746835599.811
49,603.13,1746835599.811
49,207.28,1746835599.811
49,2.19,1746835599.811
50,431.09,1746835599.964
50,398.52,1746835599.964
50,30.33,1746835599.964
50,170.77,1746835599.964
50,7.61,1746835599.964
50,335.09,1746835599.964
50,46.27,1746835599.964
50,133.44,1746835599.964
50,546.72,1746835599.964
50,239.09,1746835599.964
51,395.22,1746835600.109
51,414.64,1746835600.109
51,351.66,1746835600.109
51,135.78,1746835600.109
51,436.8,1746835600.109
51,874.74,1746835600.109
51,730.79,1746835600.109
51,560.96,1746835600.109
51,394.27,1746835600.109
51,33.25,1746835600.109
52,375.02,1746835600.251
52,107.24,1746835600.251
52,6.22,1746835600.251
52,430.65,1746835600.251
52,532.13,1746835600.251
52,535.4,1746835600.251
52,2.45,1746835600.251
52,98.49,1746835600.251
52,173.49,1746835600.251
53,11.07,1746835600.394
53,4.96,1746835600.394
53,16.77,1746835600.394
53,1.28,1746835600.394
53,136.78,1746835600.394
53,380.4,1746835600.394
53,239.21,1746835600.394
53,4.27,1746835600.394
53,39.84,1746835600.394
53,460.05,1746835600.394
54,229.32,1746835600.633
54,221.09,1746835600.633
54,4.04,1746835600.633
54,195.26,1746835600.633
54,398.95,1746835600.633
54,200.32,1746835600.633
54,20.48,1746835600.633
54,9.02,1746835600.633
54,16.32,1746835600.633
55,86.38,1746835600.783
55,358.06,1746835600.783
55,10.01,1746835600.783
55,8.51,1746835600.783
55,383.66,1746835600.783
55,229.12,1746835600.783
55,598.89,1746835600.783
55,187.63,1746835600.783
55,240.75,1746835600.783
55,25.38,1746835600.783
56,8.4,1746835600.926
56,79.74,1746835600.926
56,200.95,1746835600.926
56,7.39,1746835600.926
56,20.0,1746835600.926
56,337.72,1746835600.926
56,226.79,1746835600.926
56,508.91,1746835600.926
56,494.48,1746835600.926
56,893.85,1746835600.926
57,4.05,1746835601.075
57,217.39,1746835601.075
57,208.9,1746835601.075
57,4.96,1746835601.075
57,33.68,1746835601.075
57,11.34,1746835601.075
57,191.22,1746835601.075
57,22.93,1746835601.075
57,162.2,1746835601.075
58,5.2,1746835601.225
58,18.3,1746835601.225
58,206.26,1746835601.225
58,172.26,1746835601.225
58,59.87,1746835601.225
58,593.68,1746835601.225
58,34.4,1746835601.225
58,729.34,1746835601.225
58,997.52,1746835601.225
58,28.38,1746835601.225
59,8.75,1746835601.375
59,30.38,1746835601.375
59,22.75,1746835601.375
59,123.33,1746835601.375
59,154.08,1746835601.375
59,28.99,1746835601.375
59,252.66,1746835601.375
59,297.58,1746835601.375
59,39.66,1746835601.375
59,979.27,1746835601.375
59,1.74,1746835601.375
59,4.99,1746835601.375
60,397.02,1746835601.519
60,386.97,1746835601.519
60,4.81,1746835601.519
60,93.46,1746835601.519
60,329.59,1746835601.519
60,411.82,1746835601.519
60,2.7,1746835601.519
60,34.22,1746835601.519
60,43.41,1746835601.519
60,306.11,1746835601.519
60,470.57,1746835601.519
60,25.28,1746835601.519
60,1.72,1746835601.519
61,7.16,1746835601.675
61,10.53,1746835601.675
61,20.13,1746835601.675
61,281.7,1746835601.675
61,307.85,1746835601.675
61,16.19,1746835601.675
61,200.54,1746835601.675
61,672.78,1746835601.675
61,167.02,1746835601.675
61,259.77,1746835601.675
61,444.57,1746835601.675
61,4.77,1746835601.675
62,20.58,1746835601.831
62,4.28,1746835601.831
62,10.76,1746835601.831
62,48.79,1746835601.831
62,333.37,1746835601.831
62,16.7,1746835601.831
62,160.83,1746835601.831
62,641.23,1746835601.831
62,613.26,1746835601.831
62,940.19,1746835601.831
62,196.51,1746835601.831
63,19.81,1746835601.985
63,2.74,1746835601.985
63,10.94,1746835601.985
63,100.37,1746835601.985
63,31.1,1746835601.985
63,704.16,1746835601.985
63,35.53,1746835601.985
63,99.18,1746835601.985
63,84.06,1746835601.985
63,80.86,1746835601.985
64,9.22,1746835602.134
64,4.11,1746835602.134
64,13.74,1746835602.134
64,87.97,1746835602.134
64,361.52,1746835602.134
64,65.53,1746835602.134
64,152.52,1746835602.134
64,18.7,1746835602.134
64,298.5,1746835602.134
65,25.5,1746835602.283
65,3.88,1746835602.283
65,378.49,1746835602.283
65,196.26,1746835602.283
65,586.67,1746835602.283
65,266.34,1746835602.283
65,104.77,1746835602.283
65,58.49,1746835602.283
66,19.28,1746835602.433
66,17.44,1746835602.433
66,833.17,1746835602.433
66,786.57,1746835602.433
66,197.0,1746835602.433
66,171.15,1746835602.433
66,49.72,1746835602.433
66,291.97,1746835602.433
66,635.33,1746835602.433
67,7.0,1746835602.586
67,2.73,1746835602.586
67,5.63,1746835602.586
67,110.03,1746835602.586
67,57.65,1746835602.586
67,97.95,1746835602.586
67,210.18,1746835602.586
67,140.54,1746835602.586
67,7.02,1746835602.586
67,105.97,1746835602.586
68,31.39,1746835602.729
68,4.69,1746835602.729
68,21.77,1746835602.729
68,3.98,1746835602.729
68,88.52,1746835602.729
68,795.68,1746835602.729
68,584.38,1746835602.729
68,44.54,1746835602.729
68,9.81,1746835602.729
68,455.93,1746835602.729
68,49.65,1746835602.729
69,24.13,1746835602.879
69,1.58,1746835602.879
69,8.19,1746835602.879
69,788.5,1746835602.879
69,588.73,1746835602.879
69,5.15,1746835602.879
69,227.73,1746835602.879
69,282.58,1746835602.879
69,282.07,1746835602.879
69,335.12,1746835602.879
69,35.27,1746835602.879
70,204.93,1746835603.029
70,393.32,1746835603.029
70,174.42,1746835603.029
70,751.94,1746835603.029
70,18.74,1746835603.029
70,77.69,1746835603.029
70,110.34,1746835603.029
70,66.89,1746835603.029
70,451.1,1746835603.029
70,355.38,1746835603.029
70,71.33,1746835603.029
70,18.59,1746835603.029
71,171.02,1746835603.182
71,215.02,1746835603.182
71,257.69,1746835603.182
71,13.24,1746835603.182
71,53.77,1746835603.182
71,11.45,1746835603.182
71,16.73,1746835603.182
71,332.57,1746835603.182
71,464.39,1746835603.182
71,19.41,1746835603.182
72,170.65,1746835603.34
72,205.91,1746835603.34
72,8.08,1746835603.34
72,282.29,1746835603.34
72,38.25,1746835603.34
72,249.51,1746835603.34
72,54.62,1746835603.34
72,48.3,1746835603.34
72,209.6,1746835603.34
72,84.74,1746835603.34
73,66.85,1746835603.498
73,336.87,1746835603.498
73,15.07,1746835603.498
73,34.78,1746835603.498
73,31.85,1746835603.498
73,43.51,1746835603.498
73,66.2,1746835603.498
73,176.05,1746835603.498
73,22.72,1746835603.498
74,156.11,1746835603.654
74,1.53,1746835603.654
74,13.04,1746835603.654
74,46.9,1746835603.654
74,350.75,1746835603.654
74,318.59,1746835603.654
